Period;Date;treatment;pond;sp;Wt;Nt
Fishing;2021;P;1;Roach;4211;42
Fishing;2021;P;1;Zander;5003.2;750
Fishing;2021;P;1;Roach_juv;1434.6;170
Fishing;2021;C;2;Mussel;966.8;32
Fishing;2021;P;3;Roach;1107;9
Fishing;2021;P;3;Zander;259.8;56
Fishing;2021;P;3;Roach_juv;6358;764
Fishing;2021;C;4;Roach;1687.6;12
Fishing;2021;C;4;Zander;2768.8;385
Fishing;2021;C;4;Mussel;845;49
Fishing;2021;P;5;Zander;888.8;142
Fishing;2021;P;5;Roach_juv;1835.8;444
Fishing;2021;P;5;Mussel;974;24
Fishing;2021;C;6;Roach;2905.6;21
Fishing;2021;C;6;Zander;3326;453
Fishing;2021;C;6;Mussel;992.4;32
